----------------------------------------------------------------------------------------------------
| 18  7  | 11  1  |  6  8  | 12 15  | 10  3  | 17 14  | 13  9  |  2  5  |  4 16  |
|  2  5  |  4 10  |  1 13  |  9  3  | 16 18  | 11 12  | 17  6  | 15  8  |  7 14  |
|  4 16  |  2  9  | 10 11  |  6 13  |  7  8  |  3  1  | 14 15  | 18 17  |  5 12  |
|  6 10  |  7 12  |  9  3  |  8 11  | 13  1  | 16 18  |  5  2  | 14  4  | 15 17  |
| 14  3  | 18  5  |  4  7  | 10 17  |  9 12  |  8 15  | 16 11  |  6 13  |  1  2  |
| 11  8  |  6 16  | 18  5  |  7 14  | 17 15  | 13  2  |  4  3  | 12  1  | 10  9  |
| 12 15  |  3  8  | 16 17  |  2 18  | 11 14  |  5  4  |  1 10  |  9  7  | 13  6  |
| 13 17  | 15 14  | 12  2  | 16  1  |  5  4  |  9  6  |  8  7  |  3 10  | 18 11  |
|  9  1  | 13 17  | 14 15  |  4  5  |  6  2  | 10  7  | 12 18  | 16 11  |  8  3  |
----------------------------------------------------------------------------------------------------
| 10 18  |  8  2  | 17 16  | 11  4  |  3  7  |  1 13  |  6 14  |  5  9  | 12 15  |
|  5  4  | 17  6  |  8 10  | 13 16  |  2 11  | 18  3  | 15 12  |  7 14  |  9  1  |
|  7  9  |  5  3  | 11 18  | 17  8  |  4  6  | 12 16  |  2  1  | 13 15  | 14 10  |
| 15  6  | 10  4  |  3  1  | 18  9  |  8 17  | 14  5  |  7 16  | 11 12  |  2 13  |
|  3 13  | 16  7  | 15  4  |  5 12  | 14  9  |  2 11  | 10 17  |  1 18  |  6  8  |
| 17 12  | 14 15  |  2  6  |  3 10  |  1  5  |  4  9  | 18 13  |  8 16  | 11  7  |
|  1 14  | 12 13  |  7  9  | 15  2  | 18 16  |  6  8  | 11  4  | 10  3  | 17  5  |
|  8  2  |  9 11  | 13 14  |  1  7  | 12 10  | 15 17  |  3  5  |  4  6  | 16 18  |
| 16 11  |  1 18  |  5 12  | 14  6  | 15 13  |  7 10  |  9  8  | 17  2  |  3  4  |
----------------------------------------------------------------------------------------------------
