----------------------------------------------------------------------------------------------------
|  5  2  | 18  4  | 14 12  |  6 16  | 10  9  |  1 13  | 17  7  |  8 11  | 15  3  |
| 15 14  |  7  6  | 17 16  |  1 10  |  4  3  |  9  8  | 13 11  |  2  5  | 12 18  |
| 11  8  |  5  1  | 15  7  |  3 17  |  6 14  | 10  2  | 12  4  | 18 13  |  9 16  |
| 18 12  |  8 13  |  3  2  | 14  7  | 17 15  |  4  5  | 10  1  |  9 16  | 11  6  |
| 10  7  | 11 16  | 13  8  |  4 18  | 12  1  | 14  6  |  9  2  | 15  3  |  5 17  |
| 17  3  | 10 15  |  5  9  |  8 13  |  7 18  | 11 12  | 14 16  |  1  6  |  2  4  |
|  4  1  | 14  9  | 18 10  |  2  5  | 16 11  |  7 15  |  3  6  | 12 17  | 13  8  |
| 13  6  |  3  2  | 11  1  |  9 12  |  5  8  | 16 17  | 15 18  |  7  4  | 14 10  |
|  9 16  | 12 17  |  4  6  | 15 11  | 13  2  | 18  3  |  5  8  | 10 14  |  7  1  |
----------------------------------------------------------------------------------------------------
|  3  9  |  1 12  | 16 15  | 17  8  | 18 13  |  5  4  |  2 14  | 11 10  |  6  7  |
|  8 11  |  9  3  |  7  5  | 10 15  |  1 17  | 13 16  |  6 12  | 14 18  |  4  2  |
| 14 17  |  2 11  | 10  4  | 13  3  |  9 12  |  6 18  |  8 15  | 16  7  |  1  5  |
|  7 13  | 16 14  |  1 18  | 12  4  |  3  5  |  2 10  | 11  9  |  6  8  | 17 15  |
|  2 15  |  4 10  |  6 11  | 16  1  | 14  7  |  3  9  | 18  5  | 17 12  |  8 13  |
| 16  5  | 13  7  |  8  3  | 11  9  |  2  6  | 17 14  |  1 10  |  4 15  | 18 12  |
|  1 10  | 15  5  |  2 17  | 18  6  |  8  4  | 12 11  |  7 13  |  3  9  | 16 14  |
|  6 18  | 17  8  | 12 14  |  5  2  | 11 16  | 15  7  |  4  3  | 13  1  | 10  9  |
| 12  4  |  6 18  |  9 13  |  7 14  | 15 10  |  8  1  | 16 17  |  5  2  |  3 11  |
----------------------------------------------------------------------------------------------------
