----------------------------------------------------------------------------------------------------
|  7  1  |  4 17  |  9 18  |  8  2  |  6 11  | 14  3  | 13 16  | 15 10  |  5 12  |
|  8  4  |  5  6  | 17  2  |  1 14  |  9 12  | 13  7  | 11 15  | 16 18  | 10  3  |
| 10  5  | 18  7  |  6 15  | 17 13  |  8 16  |  2  4  |  1  3  | 11 12  |  9 14  |
| 15  2  |  8  3  |  4  5  | 10 18  | 13  7  |  6 16  | 14 12  |  1  9  | 11 17  |
| 12 17  | 15  1  |  7  8  |  6 11  | 14 18  |  9 10  |  2  4  |  3  5  | 16 13  |
|  3 13  | 10  2  |  1 11  |  7 16  |  4 15  | 12 18  |  5  9  | 14 17  |  6  8  |
|  6  9  | 13 14  | 10 16  | 12  4  |  2  3  | 11  5  | 18 17  |  7  8  |  1 15  |
| 14 11  | 12 16  |  3 13  | 15  9  | 17  5  |  8  1  |  7 10  |  2  6  | 18  4  |
| 16 18  | 11  9  | 12 14  |  3  5  | 10  1  | 15 17  |  6  8  |  4 13  |  7  2  |
----------------------------------------------------------------------------------------------------
|  9 16  |  7 13  |  2  1  |  5 17  | 11 14  |  3 15  | 10  6  | 12  4  |  8 18  |
| 11 15  |  6  4  | 13  9  |  2  7  |  1 17  |  5 12  |  3 18  |  8 16  | 14 10  |
|  2 10  | 17 12  | 16  4  |  9 15  |  3  6  | 18 11  |  8  1  |  5 14  | 13  7  |
| 18  6  |  2  5  | 14 17  | 13  1  | 15  8  | 16  9  | 12  7  | 10  3  |  4 11  |
|  5  7  | 16 11  | 15 12  | 14 10  | 18  2  | 17  8  |  4 13  |  6  1  |  3  9  |
| 13 12  |  1 10  |  5  3  |  4  8  | 16  9  |  7  2  | 17 14  | 18 11  | 15  6  |
|  1  8  |  3 15  | 18  6  | 16 12  |  7  4  | 10 14  |  9 11  | 13  2  | 17  5  |
|  4 14  |  9 18  |  8 10  | 11  3  |  5 13  |  1  6  | 15  2  | 17  7  | 12 16  |
| 17  3  | 14  8  | 11  7  | 18  6  | 12 10  |  4 13  | 16  5  |  9 15  |  2  1  |
----------------------------------------------------------------------------------------------------
