----------------------------------------------------------------------------------------------------
|  8  2  |  7 11  | 15 10  |  5 12  | 16  1  |  6 17  | 13 14  |  3  4  | 18  9  |
| 16  3  |  8 13  | 12  6  | 11  4  | 14 17  |  5  2  |  1 10  | 18  9  |  7 15  |
|  9 18  |  1  3  | 14  4  | 15  6  |  5  7  | 16 11  |  8 17  | 10 12  |  2 13  |
| 11 13  | 17 12  |  8  7  | 14 18  |  2  4  | 10  9  | 16  5  |  6 15  |  1  3  |
|  6  5  | 18 15  | 11 13  |  8  3  |  9 10  |  1  4  |  7 12  | 17  2  | 14 16  |
| 10 14  |  5 16  | 18  1  | 17  2  | 11  6  | 12  3  | 15  9  |  7 13  |  4  8  |
|  7  1  | 10  6  |  3 16  | 13  9  |  8 12  | 15 18  |  4  2  |  5 14  | 17 11  |
|  4 12  | 14  2  | 17  9  | 10  1  | 13 15  |  7  8  | 18  3  | 16 11  |  5  6  |
| 17 15  |  4  9  |  2  5  | 16  7  |  3 18  | 14 13  | 11  6  |  1  8  | 12 10  |
----------------------------------------------------------------------------------------------------
| 18 10  | 16  1  | 13 15  |  9  5  | 17 14  |  3  7  | 12  4  | 11  6  |  8  2  |
|  1 16  |  2  5  |  4 12  |  6 15  | 10 13  |  8 14  | 17 11  |  9  7  |  3 18  |
| 14  9  | 11  7  |  5  3  | 12 16  | 15  2  | 18 10  |  6  1  |  8 17  | 13  4  |
|  2  4  |  3 10  |  1 18  |  7 13  |  6  5  |  9 12  | 14  8  | 15 16  | 11 17  |
|  5 17  | 13 18  | 10  8  |  1 14  |  4  9  | 11  6  |  2 15  | 12  3  | 16  7  |
|  3 11  | 12 17  |  7 14  | 18  8  |  1 16  |  4 15  |  9 13  |  2 10  |  6  5  |
| 15  6  |  9  4  | 16  2  |  3 11  | 12  8  | 17  1  |  5  7  | 13 18  | 10 14  |
| 12  8  | 15 14  |  6 17  |  2 10  |  7 11  | 13 16  |  3 18  |  4  5  |  9  1  |
| 13  7  |  6  8  |  9 11  |  4 17  | 18  3  |  2  5  | 10 16  | 14  1  | 15 12  |
----------------------------------------------------------------------------------------------------
