----------------------------------------------------------------------------------------------------
|  1 15  | 13 14  |  5 17  | 10  7  |  3 18  |  6 12  |  4  9  |  8 11  | 16  2  |
|  4  7  |  8 17  | 18 15  |  2 12  | 10  1  |  9 11  | 13 16  |  5  3  |  6 14  |
|  6  9  | 12 10  | 13  8  | 11  4  | 17  2  | 16 14  |  3  1  | 15  7  |  5 18  |
|  2 17  | 11 16  |  6 10  | 13  8  | 15  9  |  1  3  | 12  5  | 18 14  |  7  4  |
| 18 10  |  9  4  |  3 11  | 17  5  |  8  6  |  7 13  | 14 15  | 16  2  |  1 12  |
| 12 11  |  7 15  |  2 14  |  3  6  |  5 16  | 17  8  | 10 18  |  4  1  |  9 13  |
| 16 13  |  6  5  |  9 12  | 14  1  |  7  4  |  2 18  |  8 11  | 10 17  |  3 15  |
|  8  5  | 18  3  |  7  1  | 15 16  | 14 13  | 10  4  |  2  6  | 12  9  | 17 11  |
| 14  3  |  2  1  | 16  4  |  9 18  | 12 11  |  5 15  | 17  7  | 13  6  | 10  8  |
----------------------------------------------------------------------------------------------------
|  7  8  | 14 11  |  1 13  |  6 17  | 16  3  | 15  2  | 18 12  |  9  5  |  4 10  |
| 17 14  |  5  8  |  4  9  |  1 13  |  2  7  |  3 16  | 15 10  | 11 12  | 18  6  |
| 11  4  | 10 18  | 12 16  |  8 15  |  6  5  | 14  9  |  7  3  |  1 13  |  2 17  |
| 13  6  | 17  2  | 10  3  |  7  9  |  1  8  | 12  5  | 11  4  | 14 18  | 15 16  |
|  9 16  |  4  7  |  8  5  | 12 11  | 13 15  | 18  1  |  6  2  | 17 10  | 14  3  |
| 10  1  |  3  6  | 11 18  |  5 14  |  9 12  |  4 17  | 16 13  |  2 15  |  8  7  |
|  3 18  | 15  9  | 17  7  |  4  2  | 11 14  | 13 10  |  5  8  |  6 16  | 12  1  |
| 15 12  |  1 13  | 14  2  | 16  3  | 18 10  |  8  6  |  9 17  |  7  4  | 11  5  |
|  5  2  | 16 12  | 15  6  | 18 10  |  4 17  | 11  7  |  1 14  |  3  8  | 13  9  |
----------------------------------------------------------------------------------------------------
