----------------------------------------------------------------------------------------------------
| 14 18  | 11  2  | 16  3  | 13 10  |  1  4  |  8 12  | 15  6  | 17  9  |  5  7  |
| 10  7  |  8  1  |  9 13  | 18 17  |  3  5  |  6 11  | 12  4  | 15  2  | 16 14  |
|  6 17  | 12  7  | 14  4  | 16  5  | 11 10  |  3 13  |  8  2  |  1 18  | 15  9  |
|  9  8  |  3 17  | 10  2  | 14 12  | 16 13  |  5 15  | 11  1  |  6  7  | 18  4  |
|  3  2  | 18  9  |  7  6  |  8  1  | 14 15  | 16 10  | 13  5  | 11  4  | 17 12  |
| 16 15  |  4 13  | 18  8  |  6  9  |  2 17  |  1 14  |  7 10  |  5 12  | 11  3  |
|  5  1  | 14  6  | 17 11  |  7 15  |  8 12  |  2  4  |  9 18  | 16  3  | 13 10  |
| 12 13  | 10 15  |  1  5  | 11  4  |  9 18  | 17  7  | 16  3  |  8 14  |  2  6  |
| 11  4  | 16  5  | 15 12  |  3  2  |  7  6  |  9 18  | 14 17  | 10 13  |  8  1  |
----------------------------------------------------------------------------------------------------
| 13  6  |  2 18  | 12  1  | 15 16  |  4  3  |  7  9  |  5  8  | 14 11  | 10 17  |
| 18 14  |  6 12  |  4 10  |  9  7  | 15  8  | 13 17  |  2 11  |  3 16  |  1  5  |
| 15 11  | 13 16  |  6 18  |  5  3  | 17 14  |  4  2  |  1  9  |  7 10  | 12  8  |
|  7 10  |  9 11  |  5 14  |  1  6  | 12 16  | 15  8  |  4 13  |  2 17  |  3 18  |
|  2  5  |  7 14  |  3 15  | 10 18  |  6  1  | 11 16  | 17 12  |  9  8  |  4 13  |
|  1  9  | 15  3  | 11 17  |  4  8  | 13  2  | 12  6  | 10 14  | 18  5  |  7 16  |
|  4 12  |  5  8  |  2  9  | 17 11  | 18  7  | 10  1  |  3 16  | 13  6  | 14 15  |
|  8 16  | 17 10  | 13  7  | 12 14  |  5 11  | 18  3  |  6 15  |  4  1  |  9  2  |
| 17  3  |  1  4  |  8 16  |  2 13  | 10  9  | 14  5  | 18  7  | 12 15  |  6 11  |
----------------------------------------------------------------------------------------------------
