----------------------------------------------------------------------------------------------------
|  2 10  |  7 15  | 12  1  |  3 13  |  6  5  | 14  9  | 17 16  | 18 11  |  4  8  |
|  5  6  |  8 13  | 10 14  |  2 16  | 15  3  |  4 11  |  9 18  | 17  7  |  1 12  |
| 13 17  |  6  3  |  7  8  |  5 12  |  2  9  | 15 18  |  4  1  | 16 10  | 11 14  |
| 16  4  | 10  5  |  6  9  |  8 17  | 12  1  |  2  3  | 14 11  | 13 15  | 18  7  |
|  8 18  |  9  1  | 13  3  |  7 15  |  4 11  | 17 10  |  2 12  | 14  6  |  5 16  |
| 12  1  |  4  2  | 11 16  |  6 10  | 18 14  |  7 13  | 15  3  |  5  8  | 17  9  |
|  3 11  | 12 18  |  2 15  | 14  1  | 13 17  | 16  8  |  5  7  |  9  4  |  6 10  |
|  9 15  | 17 14  |  5  4  | 18 11  | 16  7  |  1  6  | 10  8  |  2 12  | 13  3  |
|  7 14  | 11 16  | 17 18  |  9  4  |  8 10  |  5 12  | 13  6  |  3  1  | 15  2  |
----------------------------------------------------------------------------------------------------
| 18  5  | 16 12  | 15 17  |  4  2  |  7  6  |  8  1  | 11 14  | 10  3  |  9 13  |
|  1  9  | 15 10  | 16 12  | 13 18  |  3  2  |  6  5  |  7 17  | 11 14  |  8  4  |
| 10  8  |  1  9  |  3  2  | 16  5  | 11 18  | 12 15  |  6  4  |  7 13  | 14 17  |
| 17  2  | 18  6  |  1 13  | 15  3  |  9  4  | 10 14  | 12  5  |  8 16  |  7 11  |
|  4 12  |  5 17  | 14  7  | 10  6  |  1 13  | 11 16  |  8  9  | 15  2  |  3 18  |
| 11 13  |  2  4  | 18  6  |  1  8  | 14 15  |  9  7  |  3 10  | 12 17  | 16  5  |
| 14  3  | 13 11  |  9 10  | 12  7  | 17  8  | 18  4  | 16 15  |  6  5  |  2  1  |
|  6 16  | 14  7  |  8 11  | 17  9  |  5 12  |  3  2  |  1 13  |  4 18  | 10 15  |
| 15  7  |  3  8  |  4  5  | 11 14  | 10 16  | 13 17  | 18  2  |  1  9  | 12  6  |
----------------------------------------------------------------------------------------------------
