----------------------------------------------------------------------------------------------------
|  6 13  |  2  1  | 10  9  |  5 18  | 14  3  |  4 11  |  8 16  |  7 15  | 12 17  |
|  9 12  |  6  7  | 14 13  | 16  2  |  4 17  | 10  3  |  5 11  |  8  1  | 15 18  |
| 11 17  | 13  3  |  2  1  | 10  7  | 15  5  |  6 14  |  9 18  | 12  4  | 16  8  |
|  1  5  | 12  9  |  6  7  | 13  8  | 10 16  |  2 17  | 14 15  | 11 18  |  4  3  |
|  8  2  | 14 16  | 12 11  |  1 17  | 13  7  | 15 18  |  4 10  |  3  6  |  9  5  |
| 16 10  |  5 15  |  4  8  | 12  6  |  1 18  | 13  7  |  3 17  | 14  9  | 11  2  |
| 15  4  |  8 17  |  5 18  |  3 14  |  6 11  |  9 16  |  7 12  | 10  2  |  1 13  |
| 18  7  |  4 10  | 15  3  | 11  9  |  8  2  |  5 12  | 13  1  | 16 17  | 14  6  |
|  3 14  | 18 11  | 16 17  | 15  4  | 12  9  |  1  8  |  6  2  |  5 13  | 10  7  |
----------------------------------------------------------------------------------------------------
| 13 15  | 11  2  | 17  5  |  7  1  |  3  6  | 16  9  | 18 14  |  4 10  |  8 12  |
|  7 16  | 10  6  |  9 14  |  8  3  | 17  1  | 18  2  | 11  4  | 13 12  |  5 15  |
| 12  8  | 16 18  | 11  6  | 17 15  |  5  4  |  3  1  | 10  7  |  2 14  | 13  9  |
| 14 18  | 15 12  |  8 16  |  2 11  |  7 13  | 17  4  |  1  6  |  9  5  |  3 10  |
| 10 11  |  7 13  | 18 15  |  6 12  |  9  8  | 14  5  |  2  3  |  1 16  | 17  4  |
|  5  9  |  1  8  |  7 10  |  4 16  |  2 14  | 12  6  | 17 13  | 15  3  | 18 11  |
|  4  6  |  9 14  |  3  2  | 18 13  | 16 12  | 11 10  | 15  5  | 17  8  |  7  1  |
| 17  1  |  3  4  | 13 12  |  9  5  | 18 10  |  7 15  | 16  8  |  6 11  |  2 14  |
|  2  3  | 17  5  |  1  4  | 14 10  | 11 15  |  8 13  | 12  9  | 18  7  |  6 16  |
----------------------------------------------------------------------------------------------------
