----------------------------------------------------------------------------------------------------
| 11  9  |  6 13  |  8 14  |  7  1  | 16 10  |  5  2  | 18  4  | 15 17  | 12  3  |
|  6  4  |  8 12  | 13 11  | 10  3  |  1  7  | 16 15  |  2 17  | 18  5  | 14  9  |
| 13  8  |  4  9  |  6 17  | 16 15  | 18  3  | 10  7  |  1 11  | 14 12  |  5  2  |
| 10 14  | 18 11  |  4  1  |  8  6  | 12 17  |  3 13  |  7  5  |  2  9  | 15 16  |
| 12  3  |  5  1  |  7 18  | 11  4  | 13  2  | 17 14  | 15  9  | 10 16  |  6  8  |
| 18 15  | 10  7  |  9 12  | 13  2  |  5 14  |  1  4  | 16  3  |  6  8  | 17 11  |
| 17 16  | 14 15  | 10  2  |  9  5  |  8 11  |  6 18  | 13 12  |  7  3  |  4  1  |
|  2  7  | 16 17  |  3  5  | 18 14  | 15  9  | 11 12  |  8  6  |  1  4  | 10 13  |
|  1  5  |  3  2  | 16 15  | 12 17  |  4  6  |  9  8  | 10 14  | 11 13  |  7 18  |
----------------------------------------------------------------------------------------------------
|  7  2  | 13  6  | 12 10  |  3 11  |  9 15  |  4  1  |  5  8  | 16 14  | 18 17  |
| 16 12  |  7 10  | 15  6  | 17  9  |  2 13  | 14  5  |  3 18  |  8 11  |  1  4  |
|  5 18  | 12  4  | 14  3  | 15 10  |  7  1  | 13  9  | 11 16  | 17  2  |  8  6  |
|  4 13  |  2 14  | 18  8  |  6 12  | 10 16  |  7 11  | 17  1  |  3 15  |  9  5  |
| 14 17  |  1 18  | 11 13  |  4  7  |  6 12  |  8 16  |  9  2  |  5 10  |  3 15  |
|  8  6  | 11  3  |  2  4  |  5 16  | 14 18  | 15 17  | 12  7  |  9  1  | 13 10  |
| 15  1  | 17  8  |  5  9  | 14 18  | 11  4  |  2  3  |  6 10  | 13  7  | 16 12  |
|  9 11  | 15 16  | 17  7  |  1  8  |  3  5  | 18 10  |  4 13  | 12  6  |  2 14  |
|  3 10  |  9  5  |  1 16  |  2 13  | 17  8  | 12  6  | 14 15  |  4 18  | 11  7  |
----------------------------------------------------------------------------------------------------
