----------------------------------------------------------------------------------------------------
|  7  4  | 16 11  | 18 12  | 15  6  | 13  3  |  9  8  |  1 14  |  2 17  | 10  5  |
| 13  8  | 18  3  |  2 17  | 14 10  | 16  4  |  1 12  |  6  5  |  9  7  | 15 11  |
|  2  9  |  1  8  | 16 11  | 12  5  | 10 15  |  4 18  | 17  7  |  6 14  | 13  3  |
|  3 11  |  9 17  |  8  7  | 16  1  |  6 14  | 15 13  |  4 18  |  5 10  |  2 12  |
| 15 18  | 10  6  |  9  1  |  8  2  |  5  7  | 16 14  | 13  3  | 11 12  | 17  4  |
| 16 12  |  2 15  |  3  5  | 11 18  |  1  9  |  7 17  |  8 10  |  4 13  | 14  6  |
| 17  5  | 13  4  | 15 14  |  7  9  | 18 12  | 10  6  | 11  2  |  1  3  |  8 16  |
| 10 14  |  7  5  | 13  6  |  4 17  | 11  8  |  3  2  | 15 12  | 18 16  |  1  9  |
|  6  1  | 14 12  | 10  4  |  3 13  |  2 17  |  5 11  | 16  9  |  8 15  |  7 18  |
----------------------------------------------------------------------------------------------------
| 11  6  |  8 16  | 14 18  | 13 12  | 15  5  |  2 10  |  3  4  |  7  1  |  9 17  |
| 14 10  |  5  1  | 11  3  | 18 15  |  9 13  | 17  7  | 12  8  | 16  4  |  6  2  |
|  8  3  | 15 14  |  7 10  |  2 16  | 12 11  | 18  9  |  5  1  | 17  6  |  4 13  |
|  1 17  |  6  9  |  5 16  | 10 11  |  8 18  | 12  4  |  7 13  | 14  2  |  3 15  |
|  9 16  | 11 10  |  6  2  |  5 14  |  4  1  | 13 15  | 18 17  |  3  8  | 12  7  |
| 18  7  |  3 13  |  1  9  | 17  4  | 14 10  |  6  5  |  2 15  | 12 11  | 16  8  |
|  5 13  |  4 18  | 12  8  |  6  7  | 17  2  | 14  3  | 10 16  | 15  9  | 11  1  |
| 12 15  | 17  2  |  4 13  |  1  3  |  7  6  |  8 16  |  9 11  | 10 18  |  5 14  |
|  4  2  | 12  7  | 17 15  |  9  8  |  3 16  | 11  1  | 14  6  | 13  5  | 18 10  |
----------------------------------------------------------------------------------------------------
