----------------------------------------------------------------------------------------------------
|  7  2  |  8 17  | 14  4  | 15  3  | 12  1  |  6 13  |  5  9  | 10 16  | 11 18  |
|  8 13  | 14  3  | 10  5  | 12  7  | 15  2  |  9 18  |  1 16  | 11  6  | 17  4  |
| 14  5  |  6 12  | 18  3  |  9 17  | 13  7  | 15 11  | 10  2  |  1  4  | 16  8  |
| 12  3  |  2 13  | 17  6  |  5 10  |  9  4  |  8 16  | 11 15  | 14 18  |  1  7  |
| 10 17  |  9  1  | 13  8  |  2 16  |  3 11  | 14  4  |  6 18  | 15  7  | 12  5  |
|  6  1  | 15 11  |  2 12  | 18  8  | 16 10  |  3  7  | 13  4  |  5 17  |  9 14  |
| 16 15  |  5 18  |  9 11  |  6  4  |  8 14  | 12  1  | 17  7  | 13  3  | 10  2  |
| 18  4  |  7 16  | 15  1  | 11 14  |  6  5  | 17 10  | 12  8  |  9  2  | 13  3  |
|  9 11  |  4 10  | 16  7  | 13  1  | 17 18  |  2  5  |  3 14  | 12  8  | 15  6  |
----------------------------------------------------------------------------------------------------
| 15  6  | 17  8  | 11 14  |  7  9  | 18 12  | 16  3  |  4  1  |  2 10  |  5 13  |
| 11 10  | 12  6  |  3 13  | 14 18  |  4 15  |  1  8  |  2 17  | 16  5  |  7  9  |
|  3 14  | 10  2  |  6 17  |  8 13  |  5 16  | 18 12  |  9 11  |  7 15  |  4  1  |
|  2 18  |  1 14  |  4 15  | 17 11  |  7  6  | 13  9  | 16  5  |  3 12  |  8 10  |
|  5  8  | 13  4  |  1  2  |  3  6  | 14  9  | 10 15  |  7 12  | 17 11  | 18 16  |
| 13 12  | 11  9  |  7 10  | 16 15  |  1  8  |  5  2  | 18  6  |  4 14  |  3 17  |
| 17  7  |  3  5  | 12 16  |  1  2  | 11 13  |  4  6  |  8 10  | 18  9  | 14 15  |
|  1  9  | 16  7  |  8 18  |  4  5  | 10 17  | 11 14  | 15  3  |  6 13  |  2 12  |
|  4 16  | 18 15  |  5  9  | 10 12  |  2  3  |  7 17  | 14 13  |  8  1  |  6 11  |
----------------------------------------------------------------------------------------------------
