----------------------------------------------------------------------------------------------------
|  7  8  |  9 15  | 13 18  |  2 16  | 10 12  | 14 11  |  5  1  |  6  4  |  3 17  |
| 12 18  |  7  1  | 10 16  | 17 11  | 14 13  |  9  2  |  3  4  |  8 15  |  6  5  |
| 17  2  | 13 10  | 11  7  |  6  3  | 15 18  | 12  5  | 14  9  |  1 16  |  4  8  |
|  3  1  |  8 14  |  5  4  | 15 10  | 11  6  | 17 18  |  7  2  | 12 13  |  9 16  |
| 16  6  | 17  4  |  1  9  |  5  8  |  3  2  | 15 10  | 18 13  | 11 14  | 12  7  |
|  5 14  | 16  3  |  2 15  |  9 13  |  8  7  |  4  6  | 17 12  | 18 10  | 11  1  |
| 13 11  |  5 18  | 17  8  |  1 12  | 16  4  |  7  3  | 10  6  |  2  9  | 14 15  |
| 15 10  |  2  6  | 14 12  |  7  4  |  9 17  |  1  8  | 11 16  |  3  5  | 18 13  |
|  9  4  | 12 11  |  3  6  | 18 14  |  5  1  | 13 16  |  8 15  |  7 17  | 10  2  |
----------------------------------------------------------------------------------------------------
| 10  3  | 11 16  | 15 17  | 12  5  |  4 14  |  6  1  |  2  8  |  9  7  | 13 18  |
|  1  7  | 14 13  |  4 10  | 16  9  |  2  5  | 11 17  |  6  3  | 15 18  |  8 12  |
|  8 17  | 10 12  |  7 11  |  4  2  | 18 15  |  5  9  |  1 14  | 13  6  | 16  3  |
|  2 16  | 15  8  | 12  1  |  3  6  | 13 10  | 18  7  |  9  5  | 14 11  | 17  4  |
| 14 13  |  6  7  | 18  2  | 10  1  | 12 11  |  3  4  | 15 17  | 16  8  |  5  9  |
| 18  9  |  4 17  |  6  5  | 13  7  |  1 16  |  8 15  | 12 11  | 10  3  |  2 14  |
|  4 12  | 18  5  | 16  3  |  8 15  |  6  9  | 10 14  | 13  7  | 17  2  |  1 11  |
| 11 15  |  3  2  |  9 13  | 14 18  | 17  8  | 16 12  |  4 10  |  5  1  |  7  6  |
|  6  5  |  1  9  |  8 14  | 11 17  |  7  3  |  2 13  | 16 18  |  4 12  | 15 10  |
----------------------------------------------------------------------------------------------------
