----------------------------------------------------------------------------------------------------
|  4 14  |  2 17  |  7  5  |  3  6  |  1 10  | 18 15  | 16 13  |  9  8  | 11 12  |
|  8  9  | 12 11  |  3 14  |  7  4  | 13  2  |  6  1  | 15 18  | 17  5  | 16 10  |
| 16 12  |  5  3  | 10  6  |  8  9  | 15 18  | 13 14  |  1 17  |  2 11  |  7  4  |
|  3  7  | 10 16  |  2 17  | 12  5  | 14  4  |  8 11  |  6  9  | 18 15  | 13  1  |
|  5  1  |  7 15  |  8 13  | 17 18  |  3 16  | 10  4  | 14 11  | 12  6  |  9  2  |
| 13 17  |  8  4  | 12 16  | 11  2  |  5  6  |  3  9  | 10  7  | 14  1  | 18 15  |
|  6  2  |  9  1  |  4 18  | 16 15  | 11  8  |  5  7  |  3 12  | 13 10  | 14 17  |
| 15 11  | 13 18  |  1  9  | 10 14  | 12  7  |  2 17  |  5  8  |  4 16  |  6  3  |
| 18 10  |  6 14  | 15 11  | 13  1  |  9 17  | 16 12  |  4  2  |  7  3  |  8  5  |
----------------------------------------------------------------------------------------------------
| 14 18  |  4  5  | 11 12  |  9 16  | 17 13  |  1  3  |  2 10  |  8  7  | 15  6  |
|  9 15  | 14  8  |  5  4  |  6 10  |  2 12  |  7 16  | 18  3  |  1 13  | 17 11  |
|  1  6  | 15  2  | 14  7  |  5 17  |  8 11  |  9 10  | 12 16  |  3 18  |  4 13  |
|  7 16  | 17 13  | 18  8  |  1 12  |  6  9  |  4  5  | 11 15  | 10  2  |  3 14  |
| 10  8  |  1  7  | 17 15  |  4  3  | 18 14  | 12  2  | 13  6  | 11  9  |  5 16  |
| 12  5  | 16 10  | 13  1  | 15  8  |  4  3  | 11 18  |  7 14  |  6 17  |  2  9  |
| 17  4  | 18  9  |  6  3  |  2 11  | 16  5  | 14 13  |  8  1  | 15 12  | 10  7  |
|  2  3  | 11 12  | 16 10  | 18 13  |  7 15  | 17  6  |  9  4  |  5 14  |  1  8  |
| 11 13  |  3  6  |  9  2  | 14  7  | 10  1  | 15  8  | 17  5  | 16  4  | 12 18  |
----------------------------------------------------------------------------------------------------
