----------------------------------------------------------------------------------------------------
| 16 14  |  3 15  |  8  4  | 12 17  |  7 10  |  1 18  |  2 11  |  6 13  |  9  5  |
|  4  8  | 10  9  | 18  5  |  7 16  | 17 12  | 15  3  |  1  6  |  2 14  | 11 13  |
| 10 15  |  2 16  |  3  6  | 18 14  |  9  8  | 17 12  | 13  7  | 11  5  |  4  1  |
|  6  1  |  4 12  | 15  9  | 13  2  | 16  5  | 10 11  | 17  3  |  7  8  | 14 18  |
| 13  5  | 17 18  | 10 12  |  3  6  | 15 11  |  2  7  | 14  4  |  1  9  | 16  8  |
|  9  2  | 13  5  | 11 16  | 10  4  |  3  1  |  8 14  | 15 12  | 17 18  |  7  6  |
|  3  7  | 14  1  |  2 17  |  5 11  | 18  4  |  6 13  |  8  9  | 12 16  | 10 15  |
| 11 12  |  7  6  |  1 13  |  9  8  |  2 14  |  5 16  | 10 18  |  4 15  | 17  3  |
| 17 18  | 11  8  | 14  7  | 15  1  | 13  6  |  4  9  |  5 16  | 10  3  | 12  2  |
----------------------------------------------------------------------------------------------------
| 14  4  | 16 17  |  5 10  | 11 18  |  1 15  | 12  6  |  9  8  | 13  2  |  3  7  |
|  2  3  | 18 11  |  6 15  |  1 10  |  4 13  | 14  8  | 12 17  |  9  7  |  5 16  |
|  8  9  |  5  7  | 17 11  | 16  3  | 10 18  | 13 15  |  4  2  | 14  6  |  1 12  |
| 18 17  |  8 14  | 16  2  |  6 13  | 11  9  |  3 10  |  7  1  |  5 12  | 15  4  |
|  7 13  | 15  2  |  4  8  | 17 12  |  6  3  |  9  1  | 11  5  | 16 10  | 18 14  |
|  1 16  |  9  4  |  7  3  |  2 15  | 12 17  | 18  5  |  6 14  |  8 11  | 13 10  |
| 12 10  |  6 13  |  9 14  |  8  7  |  5 16  | 11  4  |  3 15  | 18  1  |  2 17  |
| 15 11  |  1 10  | 12 18  | 14  5  |  8  2  |  7 17  | 16 13  |  3  4  |  6  9  |
|  5  6  | 12  3  | 13  1  |  4  9  | 14  7  | 16  2  | 18 10  | 15 17  |  8 11  |
----------------------------------------------------------------------------------------------------
