----------------------------------------------------------------------------------------------------
| 12 16  | 10 18  |  1  3  |  5  9  |  8  6  | 17  7  | 15  4  | 14 13  |  2 11  |
| 11  8  |  7  6  | 15  9  |  3 18  |  1 14  | 10 13  | 17  2  |  5 16  | 12  4  |
| 13 18  |  3  2  |  7 11  | 15 12  |  5 16  | 14  4  |  1  8  | 17  6  | 10  9  |
|  5 15  | 13  8  | 12  4  |  7 11  | 18  9  | 16  1  |  6  3  | 10  2  | 14 17  |
|  6 10  | 12  5  | 18 17  | 14  8  | 15  7  |  9  2  | 13 16  |  4 11  |  3  1  |
| 17  7  | 15 14  | 10 13  | 16  1  |  2  4  |  6  5  | 11  9  | 12  3  |  8 18  |
| 14  9  | 11  4  |  6  2  | 13 17  | 12  3  | 18  8  |  7 10  |  1 15  | 16  5  |
|  4  1  |  9 16  |  5  8  |  6  2  | 17 10  |  3 11  | 14 12  |  7 18  | 13 15  |
|  3  2  |  1 17  | 16 14  |  4 10  | 11 13  | 12 15  |  5 18  |  9  8  |  7  6  |
----------------------------------------------------------------------------------------------------
| 18 12  |  6  1  |  4 16  | 10 13  |  7 11  | 15  3  |  8 17  |  2  9  |  5 14  |
|  9 14  |  5 15  | 17  6  |  8  7  | 10 18  |  1 16  | 12 13  |  3  4  | 11  2  |
|  1  3  |  8  9  |  2 10  | 17 16  | 13 12  |  4  6  | 18  5  | 11 14  | 15  7  |
| 15 11  |  2 12  |  3  5  |  1  6  | 16  8  | 13  9  |  4 14  | 18  7  | 17 10  |
| 10  4  | 14 11  |  8 12  |  2  5  |  3  1  |  7 18  | 16  6  | 15 17  |  9 13  |
| 16 13  | 18  3  | 14  1  | 12 15  |  9  5  | 11 17  |  2  7  |  6 10  |  4  8  |
|  2 17  | 16 13  |  9  7  | 11  4  |  6 15  |  5 14  | 10  1  |  8 12  | 18  3  |
|  7  5  | 17 10  | 11 18  |  9 14  |  4  2  |  8 12  |  3 15  | 13  1  |  6 16  |
|  8  6  |  4  7  | 13 15  | 18  3  | 14 17  |  2 10  |  9 11  | 16  5  |  1 12  |
----------------------------------------------------------------------------------------------------
