----------------------------------------------------------------------------------------------------
|  1 10  |  4 13  | 16 14  |  5  9  |  6 15  | 11  3  |  2 18  | 12  7  | 17  8  |
| 11  8  | 10 17  |  7  3  |  1 18  |  9 14  |  4 16  | 12  6  |  5 15  | 13  2  |
| 15  4  |  7  3  | 17 11  |  2 13  |  5 10  |  9  6  | 16  1  | 14  8  | 12 18  |
|  5 17  | 16  6  |  1  9  |  3 14  | 12  8  | 10 15  | 11 13  | 18  2  |  7  4  |
|  2 16  |  8 12  |  5  4  | 17  7  |  3 18  | 14 13  |  9 10  |  1  6  | 15 11  |
|  3 13  | 11  9  | 10  8  | 16 12  |  1  7  |  2 18  | 14 15  |  4 17  |  6  5  |
| 12  7  | 18  5  | 13  6  | 10 15  | 16  2  |  1 17  |  4  8  |  9 11  | 14  3  |
| 14  6  | 15  1  | 18  2  |  4 11  | 17 13  |  8 12  |  7  5  | 10  3  |  9 16  |
|  9 18  | 14  2  | 12 15  |  8  6  | 11  4  |  5  7  |  3 17  | 16 13  |  1 10  |
----------------------------------------------------------------------------------------------------
| 13  3  |  5 14  |  4 17  |  9  8  | 10 12  | 18  1  | 15  7  | 11 16  |  2  6  |
| 17  1  |  2 16  |  9 10  | 12  5  |  7 11  | 13  8  | 18  3  |  6 14  |  4 15  |
| 10 11  | 17 15  |  6 18  | 13  1  |  4  9  | 12 14  |  8 16  |  2  5  |  3  7  |
|  7  9  |  3  4  | 15 12  |  6 17  |  8  5  | 16 11  | 10  2  | 13  1  | 18 14  |
| 16 15  |  9 10  | 11  5  | 18  4  | 13 17  |  3  2  |  6 14  |  7 12  |  8  1  |
|  8 12  |  1  7  |  3 13  | 11  2  | 14  6  | 17 10  |  5  4  | 15 18  | 16  9  |
|  6  5  | 13  8  |  2  7  | 14 10  | 18 16  | 15  9  |  1 12  |  3  4  | 11 17  |
| 18 14  |  6 11  |  8 16  | 15  3  |  2  1  |  7  4  | 13  9  | 17 10  |  5 12  |
|  4  2  | 12 18  | 14  1  |  7 16  | 15  3  |  6  5  | 17 11  |  8  9  | 10 13  |
----------------------------------------------------------------------------------------------------
