----------------------------------------------------------------------------------------------------
| 17 13  |  9 18  |  2 10  | 16  5  |  8 15  |  3  1  | 12  7  |  4  6  | 11 14  |
| 16  7  |  5  3  | 12 13  |  2  6  |  1 11  | 15  9  |  8 10  | 17 14  |  4 18  |
|  4  6  |  7 17  | 14 11  | 13 10  | 12 16  |  8 18  |  3 15  |  9  5  |  2  1  |
|  9 10  | 16  6  |  7  8  | 14 15  |  5  2  | 11 13  | 18  4  |  3  1  | 17 12  |
|  2 12  |  4 10  | 16 18  | 17 11  |  7 13  |  5 14  |  9  1  | 15  8  |  3  6  |
| 15 18  | 13 14  |  9 17  |  8  1  | 10  3  |  4  7  |  6 11  | 12  2  | 16  5  |
| 14  5  |  2  1  |  6  3  | 18  9  | 17  4  | 10 12  | 13 16  |  7 11  |  8 15  |
|  8 11  | 15 12  |  5  1  |  3  4  |  9 18  |  6 17  | 14  2  | 13 16  |  7 10  |
|  3  1  | 11  8  | 15  4  |  7 12  |  6 14  | 16  2  |  5 17  | 10 18  | 13  9  |
----------------------------------------------------------------------------------------------------
| 13  4  |  6  2  | 18  5  | 12 14  | 15  7  |  1  8  | 10  3  | 16 17  |  9 11  |
| 11  8  | 14  4  |  3  9  | 10  2  | 16  1  |  7 15  | 17 18  |  5 12  |  6 13  |
|  7  2  |  1  5  | 17  6  |  9 16  |  4  8  | 13 11  | 15 14  | 18 10  | 12  3  |
|  1  3  | 12 15  |  4  2  |  5  8  | 13 10  |  9 16  | 11  6  | 14  7  | 18 17  |
|  5 17  |  8  9  | 11 14  | 15  3  | 18  6  |  2  4  | 16 12  |  1 13  | 10  7  |
|  6  9  | 18  7  |  1 12  |  4 13  | 14  5  | 17 10  |  2  8  | 11  3  | 15 16  |
| 18 15  | 17 11  | 10 16  |  1  7  |  2 12  | 14  3  |  4 13  |  6  9  |  5  8  |
| 10 14  |  3 16  | 13 15  |  6 18  | 11 17  | 12  5  |  7  9  |  8  4  |  1  2  |
| 12 16  | 10 13  |  8  7  | 11 17  |  3  9  | 18  6  |  1  5  |  2 15  | 14  4  |
----------------------------------------------------------------------------------------------------
