----------------------------------------------------------------------------------------------------
| 13  9  |  8 18  |  7 17  | 12 11  |  3  6  |  5 15  |  2 10  | 14  4  |  1 16  |
|  2  8  | 11 10  | 14  6  | 18 16  | 13  1  | 12  7  | 17  4  |  3  9  | 15  5  |
|  4 14  |  1  7  | 10 11  |  2 15  |  5 16  | 13  3  |  8 12  | 17 18  |  9  6  |
| 15 12  | 14  6  |  8 18  |  1 10  | 11  7  |  4 17  | 13  9  | 16  5  |  3  2  |
| 10  3  | 13  2  |  1  9  |  8 14  | 17 12  | 16  6  |  7  5  | 15 11  |  4 18  |
| 16 18  | 15  5  | 13 12  |  7  6  |  8  4  |  9  2  |  3 14  |  1 10  | 17 11  |
|  5  7  | 16  3  | 15  4  | 17 13  | 18  9  |  8 10  | 11  1  |  2  6  | 14 12  |
|  6  1  |  4 17  | 16  5  |  3  9  | 10  2  | 11 14  | 15 18  | 13 12  |  7  8  |
| 11 17  |  9 12  |  2  3  |  4  5  | 15 14  | 18  1  |  6 16  |  7  8  | 13 10  |
----------------------------------------------------------------------------------------------------
|  9  6  |  3 14  | 12 16  | 11 17  |  2  5  | 15  8  |  4  7  | 10 13  | 18  1  |
| 12 10  | 17  9  |  6  7  | 15  3  |  4 18  |  2 16  |  1  8  |  5 14  | 11 13  |
| 14 16  |  7  1  |  3 10  |  6 12  |  9 11  | 17  4  |  5 13  | 18  2  |  8 15  |
|  3 15  |  6 16  | 11 14  | 10 18  | 12 13  |  7  5  |  9 17  |  8  1  |  2  4  |
|  8  4  | 10 15  |  9 13  | 16  7  |  1  3  |  6 11  | 18  2  | 12 17  |  5 14  |
|  7 13  | 18  8  | 17 15  |  5  2  |  6 10  |  1 12  | 14 11  |  4  3  | 16  9  |
|  1  2  | 12 13  |  5  8  |  9  4  | 16 17  | 14 18  | 10  3  | 11 15  |  6  7  |
| 18  5  |  2 11  |  4  1  | 14  8  |  7 15  |  3 13  | 12  6  |  9 16  | 10 17  |
| 17 11  |  5  4  | 18  2  | 13  1  | 14  8  | 10  9  | 16 15  |  6  7  | 12  3  |
----------------------------------------------------------------------------------------------------
