----------------------------------------------------------------------------------------------------
| 11 14  |  7 15  |  8 17  |  9  5  |  4 12  | 18 13  |  2 16  |  1  6  |  3 10  |
| 17  2  |  9  3  | 15 13  |  6 16  |  1  8  | 12  7  | 14 18  | 10 11  |  5  4  |
|  4 15  | 14 16  |  1  2  | 13 11  | 17  6  |  5  3  | 12 10  | 18  9  |  8  7  |
|  3  5  | 11 13  | 14  9  |  8  2  | 18  7  |  1 10  | 15  4  | 12 16  | 17  6  |
|  8  7  |  2 17  |  3 11  | 15 14  | 13 10  | 16  9  |  1  6  |  4  5  | 12 18  |
| 18  9  |  5  1  | 10  7  |  3 12  | 16 15  |  6  4  | 13  8  |  2 17  | 11 14  |
| 13 16  | 18  4  |  6 12  | 10  1  |  9  3  | 11  8  |  5 17  | 14  7  | 15  2  |
| 10  6  |  8 12  | 16  4  | 17 18  | 11  5  | 14  2  |  3  7  | 13 15  |  1  9  |
| 12  1  | 10  6  | 18  5  |  4  7  |  2 14  | 17 15  | 11  9  |  8  3  | 16 13  |
----------------------------------------------------------------------------------------------------
|  9 17  |  6  7  | 12 18  |  1 13  |  8  4  | 15 11  | 10  3  | 16 14  |  2  5  |
|  2 13  | 16 14  | 17  1  |  7 10  |  3 11  |  8  5  |  4 15  |  6 18  |  9 12  |
| 15 12  | 17  5  | 13  8  | 16  3  | 10  2  |  7 14  | 18  1  |  9  4  |  6 11  |
|  6  8  | 13 11  |  2 14  | 12  9  |  7  1  |  3 18  | 16  5  | 15 10  |  4 17  |
| 14 11  |  1 10  |  5 15  |  2  8  |  6 18  |  4 16  |  9 13  | 17 12  |  7  3  |
|  7 18  | 15  2  | 11 10  | 14  4  |  5 16  |  9  6  | 17 12  |  3  1  | 13  8  |
|  5 10  |  3  8  |  4 16  | 11 15  | 12  9  |  2 17  |  6 14  |  7 13  | 18  1  |
| 16  4  | 12  9  |  7  3  | 18  6  | 14 17  | 13  1  |  8 11  |  5  2  | 10 15  |
|  1  3  |  4 18  |  9  6  |  5 17  | 15 13  | 10 12  |  7  2  | 11  8  | 14 16  |
----------------------------------------------------------------------------------------------------
