----------------------------------------------------------------------------------------------------
|  9 13  | 12 14  |  1  5  |  7  3  | 17  6  | 16  8  | 15 10  | 18  4  | 11  2  |
|  4  2  | 15 13  | 14 16  | 11 10  |  5  7  |  9 12  |  8 18  |  3  6  | 17  1  |
| 17 18  |  7 11  |  8 13  |  9  5  |  3 16  |  2  1  | 14  6  | 10 15  |  4 12  |
|  7  5  |  9 17  | 11  2  |  8 12  | 13 14  |  6 18  |  4  3  | 16  1  | 10 15  |
| 12  8  |  2 10  | 15  9  | 14  1  | 11 18  |  5  4  | 13 16  |  7 17  |  6  3  |
| 10  3  |  4  8  | 17 12  | 16  6  |  1  2  | 13 15  |  7  5  | 11  9  | 18 14  |
| 16 11  | 18  5  |  7  6  | 15 13  |  4 10  |  3 17  |  1  2  | 14 12  |  8  9  |
| 14 15  |  6  1  | 10  3  |  4 18  |  9  8  | 11  7  | 17 12  |  5  2  | 16 13  |
|  6  1  | 16  3  | 18  4  |  2 17  | 12 15  | 14 10  |  9 11  | 13  8  |  7  5  |
----------------------------------------------------------------------------------------------------
|  8  7  |  1 15  | 12 11  |  6  9  |  2 13  | 10 14  | 18  4  | 17  3  |  5 16  |
|  5 16  | 17  6  |  4 15  |  1 11  | 10 12  |  8  2  |  3 13  |  9 18  | 14  7  |
|  3 12  | 10  4  |  9  1  | 17  8  | 18 11  |  7 16  |  5 14  |  2 13  | 15  6  |
| 18 17  |  5 12  | 13 14  | 10 15  |  8  9  |  1 11  |  2  7  |  6 16  |  3  4  |
|  1  6  | 13  9  |  2  8  |  5 14  |  7  4  | 18  3  | 16 17  | 15 11  | 12 10  |
| 15  9  |  3 16  |  6 10  | 12  4  | 14  5  | 17 13  | 11  8  |  1  7  |  2 18  |
| 13  4  | 14  2  |  5 18  |  3  7  | 16 17  | 12  9  |  6 15  |  8 10  |  1 11  |
| 11 14  |  8 18  | 16  7  | 13  2  | 15  3  |  4  6  | 10  1  | 12  5  |  9 17  |
|  2 10  | 11  7  |  3 17  | 18 16  |  6  1  | 15  5  | 12  9  |  4 14  | 13  8  |
----------------------------------------------------------------------------------------------------
