----------------------------------------------------------------------------------------------------
| 10  2  |  1  5  | 13 11  | 12 16  | 17  8  |  4 18  |  9  7  |  3 14  | 15  6  |
| 14  6  |  7  2  | 17  3  | 11 15  | 16 18  | 12  9  | 10 13  |  8  1  |  5  4  |
| 17 16  |  6  4  | 18 14  |  8  1  | 12 11  |  7 10  |  3 15  | 13  5  |  2  9  |
| 18  4  | 16  3  |  9  5  | 17  6  | 14 13  | 11  2  |  8 12  | 10 15  |  1  7  |
|  8 12  | 10  9  | 15  6  |  5  4  |  2  1  | 16 14  | 18 17  | 11  7  |  3 13  |
| 15  1  | 14 18  | 16  4  |  3 13  |  6  7  |  8 17  |  2  5  | 12  9  | 10 11  |
|  9  7  | 15 12  |  1  8  |  2 14  | 10  3  | 13  5  | 16 11  |  4  6  | 17 18  |
|  5  3  | 11 13  |  2 12  | 10  7  | 15  9  |  1  6  | 14  4  | 17 18  |  8 16  |
| 13 11  |  8 17  | 10  7  |  9 18  |  4  5  |  3 15  |  1  6  | 16  2  | 14 12  |
----------------------------------------------------------------------------------------------------
|  2 17  |  4  1  |  5 18  | 16 10  |  8 14  |  9 13  |  7  3  |  6 11  | 12 15  |
| 11  8  | 13 14  |  3  9  | 18 17  |  5  2  | 15 16  |  6 10  |  7 12  |  4  1  |
|  7 10  | 17  6  | 12  1  | 14  8  |  9  4  | 18  3  | 15 16  |  5 13  | 11  2  |
| 16 13  |  2 10  | 14 17  |  1 12  | 11  6  |  5  7  |  4  9  | 15  3  | 18  8  |
|  1 18  |  5  8  |  4  2  |  6  3  | 13 15  | 10 12  | 11 14  |  9 16  |  7 17  |
|  4 14  |  3  7  |  6 13  | 15  2  |  1 16  | 17 11  | 12  8  | 18 10  |  9  5  |
|  6 15  |  9 16  |  8 10  |  7 11  |  3 12  |  2  4  |  5 18  |  1 17  | 13 14  |
|  3  9  | 12 11  |  7 15  |  4  5  | 18 17  |  6  1  | 13  2  | 14  8  | 16 10  |
| 12  5  | 18 15  | 11 16  | 13  9  |  7 10  | 14  8  | 17  1  |  2  4  |  6  3  |
----------------------------------------------------------------------------------------------------
