----------------------------------------------------------------------------------------------------
| 17  3  |  8  2  |  6 14  | 11 15  | 13 16  | 12  5  |  7 10  |  9  4  | 18  1  |
|  6  9  | 16  7  |  2  1  | 18 10  | 11 17  | 13  8  | 12 15  |  5 14  |  4  3  |
| 18  5  |  6  3  | 10  9  |  2  8  | 14  7  | 11 17  | 16  4  | 12  1  | 13 15  |
|  7  4  | 18 11  |  3 16  | 13  6  | 15  5  | 10  2  | 14  1  | 17  8  | 12  9  |
| 10  1  | 14 17  |  7 11  |  3  4  |  2 12  | 16 15  |  5  9  | 13 18  |  6  8  |
| 12 14  |  9  4  | 17 15  |  7  5  |  6  3  | 18  1  | 13  8  | 10 16  |  2 11  |
| 13 11  | 12  5  |  8 18  |  9 17  | 10  1  | 14  4  |  2  6  | 15  3  | 16  7  |
|  2  8  | 13 15  |  5 12  | 16  1  |  9  4  |  6  3  | 17 18  | 11  7  | 10 14  |
| 16 15  |  1 10  | 13  4  | 12 14  | 18  8  |  9  7  | 11  3  |  6  2  |  5 17  |
----------------------------------------------------------------------------------------------------
|  3 12  | 17 14  |  9 13  |  1 11  |  8  2  |  7  6  |  4 16  | 18 10  | 15  5  |
|  9  6  |  7 12  | 18  8  | 14 16  |  1 11  | 15 13  |  3  2  |  4  5  | 17 10  |
|  1  2  |  4  6  | 11  7  | 15  9  |  5 10  | 17 14  |  8 13  | 16 12  |  3 18  |
|  5 10  | 11  8  |  1  3  |  4 12  |  7 15  |  2 18  |  6 17  | 14 13  |  9 16  |
|  4 17  |  2 13  | 12 10  |  8 18  | 16 14  |  1 11  | 15  5  |  3  9  |  7  6  |
|  8  7  |  5 18  | 16  6  | 10  2  | 17 13  |  3 12  |  9 11  |  1 15  | 14  4  |
| 15 18  |  3  9  |  4 17  |  5  7  | 12  6  |  8 16  | 10 14  |  2 11  |  1 13  |
| 14 13  | 10 16  | 15  2  | 17  3  |  4 18  |  5  9  |  1  7  |  8  6  | 11 12  |
| 11 16  | 15  1  | 14  5  |  6 13  |  3  9  |  4 10  | 18 12  |  7 17  |  8  2  |
----------------------------------------------------------------------------------------------------
