----------------------------------------------------------------------------------------------------
|  4  8  | 18  2  |  6 10  | 14  1  | 17 13  |  3 11  |  9 16  | 15  5  |  7 12  |
| 17 15  | 10  1  | 18  4  | 12  8  | 14  6  |  7 16  |  3 13  |  9  2  |  5 11  |
|  1 12  |  5  6  |  2 16  | 18 13  |  7 10  | 14  9  | 11  4  | 17  3  | 15  8  |
|  3  7  |  9 11  | 17 12  |  5  2  | 15 18  | 13  6  | 14 10  |  1  8  |  4 16  |
| 13 16  | 17  8  | 14  9  | 10 11  |  2 12  | 18  4  |  5 15  |  7  6  |  3  1  |
|  6  5  |  4 16  |  8 13  |  7 15  |  1  3  | 10  2  | 18 17  | 12 11  |  9 14  |
| 18  9  | 12 15  |  7  3  |  6  4  |  8 11  | 17  5  |  2  1  | 14 16  | 13 10  |
| 14 10  | 13  3  | 11  1  |  9 17  |  5 16  | 12 15  |  7  8  | 18  4  |  2  6  |
|  2 11  |  7 14  |  5 15  | 16  3  |  9  4  |  1  8  | 12  6  | 13 10  | 18 17  |
----------------------------------------------------------------------------------------------------
| 11  3  | 15  4  | 10  7  |  8 16  |  6  1  |  2 13  | 17 18  |  5 14  | 12  9  |
| 12  4  |  3  5  | 16  2  |  1  9  | 10  8  | 15  7  | 13 11  |  6 17  | 14 18  |
|  7 18  | 11  9  |  4  8  |  2 12  |  3 15  |  5 17  |  6 14  | 10  1  | 16 13  |
|  5  1  | 16 18  |  3 17  | 13 10  |  4  9  | 11 14  | 15  7  |  8 12  |  6  2  |
|  8 14  |  1 12  | 15 11  | 17 18  | 13  5  |  6  3  |  4  2  | 16  9  | 10  7  |
|  9  2  |  8 13  |  1  5  |  4  6  | 11 14  | 16 18  | 10 12  |  3  7  | 17 15  |
| 10 17  |  6  7  | 13 18  | 11 14  | 16  2  |  9 12  |  8  3  |  4 15  |  1  5  |
| 16  6  |  2 17  | 12 14  | 15  5  | 18  7  |  4 10  |  1  9  | 11 13  |  8  3  |
| 15 13  | 14 10  |  9  6  |  3  7  | 12 17  |  8  1  | 16  5  |  2 18  | 11  4  |
----------------------------------------------------------------------------------------------------
