----------------------------------------------------------------------------------------------------
|  6 12  | 15 16  |  2  4  |  1  5  |  8 17  | 10  9  | 18 14  |  3 13  | 11  7  |
|  2  8  | 12  9  | 15  7  | 17 13  |  3 10  |  6 11  |  4  5  | 18 14  |  1 16  |
|  7 18  |  2  4  | 12  1  |  9 16  | 13 11  |  3  5  |  8 15  | 17 10  | 14  6  |
| 14 17  | 11  5  |  3 18  | 12  7  |  9  1  | 13  8  |  6 10  |  2 16  | 15  4  |
|  9 11  | 17 13  | 14  5  | 15  3  | 18  4  |  1 16  |  2 12  |  6  7  | 10  8  |
| 16  4  |  7 14  | 17  8  | 18 10  |  5  6  | 15  2  | 13  3  |  1 11  | 12  9  |
|  5  3  |  6  8  | 11 10  |  4 14  | 15  7  | 18 17  |  1 16  | 12  9  | 13  2  |
| 10 15  |  3  1  | 13  6  |  8 11  |  2 16  | 12 14  |  9  7  |  5  4  | 18 17  |
| 13  1  | 10 18  | 16  9  |  2  6  | 12 14  |  4  7  | 17 11  | 15  8  |  3  5  |
----------------------------------------------------------------------------------------------------
| 15 10  | 16  6  |  5 17  | 11  8  |  1  9  |  2  3  | 12 13  |  4 18  |  7 14  |
| 11  9  |  4  7  |  1 16  |  5 12  |  6  2  | 14 18  | 15 17  | 13  3  |  8 10  |
|  3  5  | 13 17  | 10 12  | 16 15  |  7  8  |  9  6  | 14  2  | 11  1  |  4 18  |
| 17 16  |  9  3  |  8 14  |  6  1  | 10 13  | 11  4  |  5 18  |  7 15  |  2 12  |
|  8  7  | 14 12  |  9  2  |  3 17  |  4 18  | 16 13  | 11  1  | 10  5  |  6 15  |
| 18 14  |  1 11  |  6 13  | 10  2  | 17  5  |  8 15  |  7  4  | 16 12  |  9  3  |
|  4  2  | 18 15  |  7  3  | 13  9  | 16 12  |  5  1  | 10  8  | 14  6  | 17 11  |
| 12 13  |  8  2  | 18 15  | 14  4  | 11  3  |  7 10  | 16  6  |  9 17  |  5  1  |
|  1  6  |  5 10  |  4 11  |  7 18  | 14 15  | 17 12  |  3  9  |  8  2  | 16 13  |
----------------------------------------------------------------------------------------------------
