----------------------------------------------------------------------------------------------------
|  6 17  |  9  4  | 11 15  | 16 12  |  5  8  | 10  2  | 18  1  |  7 13  |  3 14  |
|  2  1  | 14 15  |  6 16  |  3  8  | 11 10  |  9 13  |  7  5  | 17  4  | 18 12  |
|  5 18  | 13  1  |  9 10  | 15  6  |  3 16  | 17 12  | 11 14  |  8  2  |  7  4  |
| 16  9  | 10  7  | 17  8  | 11 14  | 15  6  |  5 18  |  2  4  |  3 12  | 13  1  |
|  8 12  |  6 16  | 13 14  |  9 10  |  7  1  | 15  4  | 17  3  |  5 18  |  2 11  |
| 10  3  |  8 18  |  7 12  |  1 13  |  4  2  | 11 14  | 15 16  |  6  9  |  5 17  |
|  7 11  | 12  2  | 18  1  |  4  5  | 13 17  |  3 16  | 10  8  | 15 14  |  6  9  |
| 14  4  | 11 17  |  3  5  | 18  2  |  9 12  |  8  7  | 13  6  | 16  1  | 15 10  |
| 15 13  |  5  3  |  4  2  | 17  7  | 18 14  |  6  1  | 12  9  | 11 10  |  8 16  |
----------------------------------------------------------------------------------------------------
|  9  6  | 16 14  |  8  4  |  5  3  |  2 11  | 12 17  |  1  7  | 18 15  | 10 13  |
| 11  7  | 15  8  |  2  9  | 13 18  | 12  5  | 16  3  | 14 10  |  1 17  |  4  6  |
|  4  8  |  7  6  | 14 13  | 12 11  | 16  9  | 18 15  |  3 17  | 10  5  |  1  2  |
| 12 16  | 18 13  |  5 17  |  7  4  |  8  3  |  1 10  |  6  2  | 14 11  |  9 15  |
| 13 14  |  2 11  | 10  7  |  6  9  |  1 18  |  4  5  |  8 15  | 12 16  | 17  3  |
| 18  2  | 17 10  | 15 11  | 14  1  |  6  4  | 13  8  |  5 12  |  9  3  | 16  7  |
| 17 15  |  1  9  | 12  3  |  8 16  | 10 13  |  7 11  |  4 18  |  2  6  | 14  5  |
|  3 10  |  4  5  |  1  6  |  2 15  | 17  7  | 14  9  | 16 11  | 13  8  | 12 18  |
|  1  5  |  3 12  | 16 18  | 10 17  | 14 15  |  2  6  |  9 13  |  4  7  | 11  8  |
----------------------------------------------------------------------------------------------------
