----------------------------------------------------------------------------------------------------
|  2 17  |  9 11  | 12 15  | 10 18  |  7  6  |  4 16  |  3  1  |  8 14  |  5 13  |
|  8 18  | 17  7  |  4  2  | 12  9  | 10 15  |  5 13  | 16 14  |  1 11  |  6  3  |
| 15 11  | 13  6  |  9 10  |  4  5  | 14  2  |  7  8  | 17 18  | 16  3  |  1 12  |
| 10  4  |  5  3  |  7 18  |  2  1  | 11  8  | 14  6  | 13 12  | 17 15  | 16  9  |
| 14  3  |  1  2  |  6  5  |  7 11  |  9 16  | 17 12  |  8  4  | 13 10  | 15 18  |
| 13  6  | 10  4  | 11  3  | 17 16  | 12 18  |  9  1  |  7 15  |  2  5  | 14  8  |
| 12 16  | 15  8  |  1 17  |  6 14  |  5 13  |  3 18  |  9 10  |  7  4  | 11  2  |
|  1  7  | 16 12  | 13 14  | 15  8  |  4  3  | 11  2  |  5  6  |  9 18  | 10 17  |
|  5  9  | 14 18  |  8 16  |  3 13  | 17  1  | 10 15  | 11  2  | 12  6  |  7  4  |
----------------------------------------------------------------------------------------------------
|  9 12  | 11 13  | 15  8  | 18  3  | 16  7  |  6 14  | 10  5  |  4  2  | 17  1  |
| 17 10  |  3 16  |  5  7  | 13 12  | 18 11  |  1  4  | 14  8  |  6  9  |  2 15  |
|  4  2  | 12 14  | 17 11  |  8 15  |  3 10  | 16  7  | 18 13  |  5  1  |  9  6  |
|  3 15  |  8 10  |  2 13  |  5  7  |  1  9  | 18 17  |  6 16  | 14 12  |  4 11  |
| 16 14  |  4  9  |  3  6  | 11 17  |  8 12  |  2 10  |  1  7  | 15 13  | 18  5  |
|  6 13  | 18  1  | 16 12  | 14  4  | 15  5  |  8  9  |  2 17  | 11  7  |  3 10  |
|  7  5  |  6 15  | 14  1  |  9 10  |  2 17  | 12  3  |  4 11  | 18  8  | 13 16  |
| 18  1  |  2  5  | 10  4  | 16  6  | 13 14  | 15 11  | 12  9  |  3 17  |  8  7  |
| 11  8  |  7 17  | 18  9  |  1  2  |  6  4  | 13  5  | 15  3  | 10 16  | 12 14  |
----------------------------------------------------------------------------------------------------
