----------------------------------------------------------------------------------------------------
| 14 10  |  7  9  |  1  3  | 11 16  |  2 15  | 17  6  | 12 18  |  8  4  | 13  5  |
| 18  1  | 11 10  | 14 16  |  2  3  | 17  4  | 12 13  | 15  5  |  9  7  |  8  6  |
| 15 16  | 14 17  |  9  8  |  7  6  | 11  3  |  4  1  | 13  2  |  5 18  | 10 12  |
|  6 12  |  4  3  |  2 10  | 14  1  |  8 13  | 18  5  |  7  9  | 11 17  | 16 15  |
| 13  4  | 12  6  | 18  5  |  8 15  | 16  7  |  3  2  | 17  1  | 10 14  |  9 11  |
| 11  9  | 13  5  |  6  4  | 12 10  | 14  1  | 15  7  |  3  8  | 16  2  | 18 17  |
| 17  7  |  2 18  | 11 12  |  9  5  |  6 10  | 14  8  |  4 16  | 13 15  |  1  3  |
|  2  5  | 15  8  | 17  7  | 18 13  | 12  9  | 16 11  |  6 10  |  3  1  |  4 14  |
|  8  3  | 16  1  | 13 15  | 17  4  | 18  5  | 10  9  | 14 11  | 12  6  |  7  2  |
----------------------------------------------------------------------------------------------------
|  3 13  |  6 11  | 15 14  |  1 12  |  9 17  |  7 18  |  8  4  |  2 10  |  5 16  |
|  7 15  |  5  4  | 12 17  |  3  2  | 10  6  | 13 16  |  1 14  | 18  8  | 11  9  |
|  4 11  |  1 12  |  7 18  |  5  9  | 13 16  |  6 17  | 10 15  | 14  3  |  2  8  |
| 16 18  |  3 15  |  5  6  | 10 11  |  7  2  |  8 14  |  9 13  |  4 12  | 17  1  |
|  5  2  |  9 14  |  4 11  |  6  8  |  3 18  |  1 10  | 16 17  | 15 13  | 12  7  |
| 12 17  |  8  2  |  3 13  | 15 14  |  5 11  |  9  4  | 18  7  |  1 16  |  6 10  |
|  1  8  | 17 13  | 10  2  | 16 18  | 15 12  | 11  3  |  5  6  |  7  9  | 14  4  |
|  9  6  | 10 16  |  8  1  | 13  7  |  4 14  |  5 12  |  2  3  | 17 11  | 15 18  |
| 10 14  | 18  7  | 16  9  |  4 17  |  1  8  |  2 15  | 11 12  |  6  5  |  3 13  |
----------------------------------------------------------------------------------------------------
