----------------------------------------------------------------------------------------------------
| 15  2  | 11  6  | 13  3  |  5  9  | 16  8  | 12 14  | 10 17  |  4  1  |  7 18  |
| 18  1  | 17  4  |  9  8  | 13  7  | 10 11  |  6 15  |  5 16  |  3 14  | 12  2  |
|  7  3  | 15 16  |  1 18  |  6 14  | 13 17  | 11  9  |  8  4  | 12  2  | 10  5  |
| 14  9  |  2 18  | 15  5  |  8 10  |  7 12  | 13  3  |  6  1  | 17 11  | 16  4  |
|  6 10  |  9  7  |  4  2  | 18 11  |  3  1  |  8 16  | 13 12  |  5 15  | 17 14  |
| 11 17  | 14 10  |  7 16  | 15 12  |  6  9  |  5  4  |  3  2  |  8 18  |  1 13  |
| 16 12  |  1  3  | 14 11  |  2 17  |  5  4  |  7 10  |  9 18  | 13  6  |  8 15  |
|  8 13  | 12  5  |  6 17  | 16  4  | 14 18  |  1  2  | 11 15  | 10  7  |  3  9  |
|  4  5  | 13  8  | 12 10  |  3  1  |  2 15  | 17 18  | 14  7  |  9 16  |  6 11  |
----------------------------------------------------------------------------------------------------
| 13  4  | 18 14  |  8  6  | 17  3  |  1 16  |  9 11  |  7 10  | 15  5  |  2 12  |
| 12  8  |  6 13  | 18 15  |  4  2  | 17 10  |  3  1  | 16 11  | 14  9  |  5  7  |
|  9 11  |  5 17  | 16 12  | 14  6  |  8  3  |  4  7  | 15 13  |  2 10  | 18  1  |
| 17  6  |  4  1  | 10  7  | 12  8  | 18 14  | 15  5  |  2  9  | 16 13  | 11  3  |
|  3 15  | 16  9  | 11  4  | 10 18  | 12 13  |  2 17  |  1  5  |  7  8  | 14  6  |
|  2 14  |  3 15  | 17 13  |  7  5  | 11  6  | 16 12  | 18  8  |  1  4  |  9 10  |
|  1 18  | 10  2  |  5  9  | 11 16  |  4  7  | 14 13  | 17  3  |  6 12  | 15  8  |
| 10 16  |  7 12  |  2 14  |  1 15  |  9  5  | 18  8  |  4  6  | 11  3  | 13 17  |
|  5  7  |  8 11  |  3  1  |  9 13  | 15  2  | 10  6  | 12 14  | 18 17  |  4 16  |
----------------------------------------------------------------------------------------------------
