----------------------------------------------------------------------------------------------------
|  3  2  | 18  6  |  7  1  | 10 17  |  8  4  | 15  5  |  9 13  | 12 11  | 14 16  |
| 11  6  |  8  9  |  5 14  | 12 18  |  1 15  | 13 16  |  3  2  |  4 10  |  7 17  |
| 18 12  | 11 15  |  4  8  |  2 16  |  5  7  | 10 14  | 17  6  | 13  3  |  9  1  |
|  5 15  |  3 13  | 11 10  |  7  1  | 18 17  |  4  2  | 16 14  |  9  6  | 12  8  |
|  4 14  |  2  5  | 12 18  |  9  3  | 10 11  |  1 17  | 15  8  | 16  7  | 13  6  |
|  8  9  |  1 14  |  2  3  | 11  6  | 16 13  | 12  7  |  4 10  | 15 17  |  5 18  |
|  1 16  | 12  7  |  9 17  |  4 13  |  2 14  |  3  6  |  5 11  |  8 18  | 10 15  |
| 10  7  | 16 17  | 15 13  |  5 14  |  3  6  |  9  8  | 12 18  |  2  1  |  4 11  |
| 13 17  | 10  4  | 16  6  |  8 15  | 12  9  | 18 11  |  7  1  |  5 14  |  3  2  |
----------------------------------------------------------------------------------------------------
| 12  3  |  7  8  | 14  2  | 13  9  | 11 10  |  6 15  | 18 17  |  1  4  | 16  5  |
| 14  5  | 13  1  |  6 12  |  3  2  |  9  8  |  7 18  | 11 15  | 10 16  | 17  4  |
|  7 10  |  9 12  |  1 15  |  6  5  | 13 18  | 16  4  |  8  3  | 17  2  | 11 14  |
|  2  1  |  5 11  |  3 16  | 15  8  |  4 12  | 17 10  |  6  7  | 14 13  | 18  9  |
| 16 11  | 14  3  | 10  4  | 17  7  |  6  2  |  5 13  |  1  9  | 18  8  | 15 12  |
| 15  4  |  6 10  |  8 11  | 18 12  | 17 16  |  2  3  | 14  5  |  7  9  |  1 13  |
|  9 13  | 17 16  | 18  5  |  1 11  |  7  3  | 14 12  |  2  4  |  6 15  |  8 10  |
|  6  8  |  4 18  | 17  9  | 14 10  | 15  5  | 11  1  | 13 16  |  3 12  |  2  7  |
| 17 18  | 15  2  | 13  7  | 16  4  | 14  1  |  8  9  | 10 12  | 11  5  |  6  3  |
----------------------------------------------------------------------------------------------------
