----------------------------------------------------------------------------------------------------
|  3  2  |  7 11  | 17  6  | 14 15  |  9 10  |  5 18  |  4 16  |  8 13  |  1 12  |
| 15  5  |  6 13  | 11  7  |  1  9  | 17 12  |  8  2  | 10  3  | 14  4  | 18 16  |
| 14 10  | 15  4  | 13  9  | 18  8  | 11 16  |  6  1  |  7  2  |  3 12  |  5 17  |
| 16 18  |  3  8  |  1 15  | 11  2  | 14  4  |  9 10  |  6 12  | 17  5  | 13  7  |
|  6  7  | 10  5  |  8  4  | 16  3  |  2 15  | 14 12  | 13 17  | 18  1  |  9 11  |
| 11  8  |  2 16  |  5  3  |  7 12  |  6 18  | 13 17  | 14  1  | 10  9  |  4 15  |
|  1 17  | 14 18  | 16 12  | 10 13  |  3  7  |  4 11  |  9  5  |  6 15  |  8  2  |
| 13  9  | 12  1  |  2 14  |  4 17  |  8  5  |  3 16  | 18 15  |  7 11  | 10  6  |
| 12  4  |  9 17  | 18 10  |  5  6  |  1 13  | 15  7  | 11  8  |  2 16  |  3 14  |
----------------------------------------------------------------------------------------------------
| 17  3  |  5 14  |  9  8  | 15 18  | 10  1  | 11 13  |  2  7  | 16  6  | 12  4  |
|  8 11  | 17 10  |  3  5  | 13 14  |  7  2  | 16  6  |  1  4  | 12 18  | 15  9  |
|  7 13  |  1  3  | 14 17  |  8 11  |  4  6  | 10  5  | 12  9  | 15  2  | 16 18  |
| 18 12  | 16  7  | 15  2  |  3  4  |  5 17  |  1 14  |  8  6  |  9 10  | 11 13  |
|  9 14  | 11 12  |  6 18  |  2  1  | 15  3  | 17  4  | 16 13  |  5  8  |  7 10  |
|  5  1  |  4  2  | 10 16  |  6  7  | 18 14  | 12  9  | 15 11  | 13  3  | 17  8  |
| 10  6  | 18  9  |  4  1  | 12 16  | 13  8  |  7 15  |  3 14  | 11 17  |  2  5  |
|  4 15  | 13  6  | 12 11  | 17 10  | 16  9  |  2  8  |  5 18  |  1  7  | 14  3  |
|  2 16  |  8 15  |  7 13  |  9  5  | 12 11  | 18  3  | 17 10  |  4 14  |  6  1  |
----------------------------------------------------------------------------------------------------
